Food_ID,Food name and Description,Alternate/Common name(s),Water (g),"Energy, calculated (kcal)",Protein (g),Total Fat (g),"Carbohydrate, total (g)","Ash, total (g)",Image Link
F037,Beef short rib,Baka tadyang,61.5,248,20.2,18.6,0,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F037.jpg
F038,Beef sirloin,"Baka tagiliran, hulihan",72.8,132,20.5,5.6,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0381.png
F039,"Beef sirloin, boiled","Baka tagiliran, hulihan, nilaga",77.4,106,18.3,3.6,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0391.png
F040,"Beef sirloin, broiled","Baka tagiliran, hulihan, inihaw",70.9,138,22.2,5.5,0,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F040.jpg
F041,"Beef sirloin, fried","Baka tagiliran, hulihan, prito",68.8,152,23.5,6.4,0,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0411.png
F042,Beef spleen,Baka lapay,77.6,95,18.2,2,1,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F042.png
F043,"Beef spleen, boiled","Baka lapay, nilaga",80.2,85,16.4,2.2,0,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F043.png
F044,Beef stomach,Baka sikmura,76.2,119,17.6,5.3,0.2,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa27.jpg
F045,Beef tail,Baka buntot,50.7,360,15.8,33,0,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa28.jpg
F046,Beef tenderloin,Baka solomilyo,72.1,128,22.8,4.1,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F046.jpg
F047,Beef tongue,Baka dila,64.8,214,14.8,15.2,4.4,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0471.png
F048,"Beef tongue, boiled","Baka dila, nilaga",57.8,227,11.4,12,18.3,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0481.png
F049,Beef tripe,Baka goto,81.1,102,11,5.8,1.4,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F049.jpg
F050,"Beef tripe, boiled","Baka goto, nilaga",82.2,94,10.3,5.2,1.5,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0501.png
F051,Beef Uterus,Baka bahay guya,78,88,15.8,1.2,3.5,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F051.png
F052,Carabeef blood,Kalabaw dugo,80.4,75,18.6,0,0.2,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0521.png
F053,Carabeef brain,Kalabaw utak,77.2,136,904,10.1,1.9,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0531.png
F054,Carabeef chuck,Kalabaw paypay,77.6,100,18.6,2.8,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa29.jpg
F055,Carabeef heart,Kalabaw puso,76.4,114,17.4,4.6,0.7,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F055copy1.png
F056,"Carabeef intestine, large",Kalabaw bitukang malaki,73.1,165,9.3,11.9,5.2,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0561.png
F057,"Carabeef intestine, small",Kalabaw bitukang maliit,74.4,148,10.4,9.7,4.7,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0571.png
F058,Carabeef kidney,Kalabaw bato,82.1,77,14,1.8,1.1,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0581.png
F059,Carabeef lean meat,Kalabaw laman,77.3,90,20.6,0.8,0,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0591.png
F060,"Carabeef lean meat, boiled","Kalabaw laman, nilaga",74.9,100,22.4,1.2,0,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0601.png
F061,Carabeef liver,Kalabaw atay,74.1,108,15.5,1.7,7.6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaaa56.jpg
F062,Carabeef lung,Kalabaw baga,79.2,87,18.6,1.4,0,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0611.png
F063,Carabeef omasum,Kalabaw librilyo,90.5,37,8.7,0.2,0.1,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa30.jpg
F064,Carabeef reticulum,Kalabaw mansanilya,78.3,119,11.2,6.9,2.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0631.png
F065,Carabeef round,Kalabaw hita,77.1,94,20.4,1.4,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0641.png
F066,Carabeef round steak,Kalabaw pierna corta at pierna larga,75.8,100,21.4,1.6,0,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa32.jpg
F067,Carabeef rump,Kalabaw tapadera,78.8,85,19.3,0.9,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa33.jpg
F068,Carabeef shank,Kalabaw kenchi,76.4,102,20.2,2.4,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa34.jpg
F069,Carabeef spleen,Kalabaw lapay,76,98,21.2,1.5,0,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0691.png
F070,Carabeef stomach,Kalabaw sikmura,79.9,81,18.7,0.7,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0701.png
F071,Carabeef w/ fat,"Kalabaw laman, may taba",73.7,119,21.8,3.6,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0701.png
F072,"Carabeef w/ fat, boiled","Kalabaw laman, may taba, nilaga",67.9,147,26.9,4.4,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa35.jpg
F075,Chevon back,Kambing likod,77,96,20.4,1.6,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa36.jpg
F076,Chevon breast,Kambing dibdib,80.1,82,17.7,1.2,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F075.jpg
F077,Chevon flank,Kambing tiyan,73.3,149,16.6,9.2,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F076.jpg
F078,Chevon heart,Kambing puso,75.2,125,17.7,5.9,0.8,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F077.jpg
F079,"Chevon intestine, small",Kambing bitukang maliit,85.9,71,10.2,3.4,0,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F078.jpg
F080,Chevon kidney,Kambing bato,79,97,15.9,3.5,0.4,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0791.png
F081,Chevon leg,Kambing hita at binti,81.6,72,17,0.4,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F081.jpg
F082,Chevon liver,Kambing atay,70.6,129,22.1,3.4,2.6,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F082.jpg
F083,Chevon loin,Kambing lomo,76,95,22.3,0.6,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F083.jpg
F084,Chevon lung,Kambing baga,78.2,93,17,2.1,1.6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F084.jpg
F085,Chevon neck,Kambing leeg,72.6,121,32.3,3.1,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F085.jpg
F086,Chevon rib,Kambing tadyang,77.9,90,19.9,1.2,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F086.jpg
F087,Chevon shank,Kambing biyas,78,89,19.8,1.1,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F087.jpg
F088,Chevon shoulder,Kambing balikat,79.3,90,17.4,2.3,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F088.jpg
F089,Chevon stomach,Kambing sikmura,86.7,57,9.8,11,1.9,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0891.png
F090,"Chick, one-day old, fried",n/a,54.8,237,25.3,14.6,1.2,4.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F090.png
F091,Chicken back,Manok dugo,66.8,208,17.4,15.3,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F091.jpg
F092,Chicken blood,Manok dugo,84.3,59,13.9,0.1,0.5,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F092.jpg
F093,Chicken breast,Manok pitso,73.1,131,21.6,5,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F093.jpg
F094,Chicken feet,Manok paa,64.5,187,24.7,9.8,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F094.jpg
F095,"Chicken feet, bbq","Manok paa, bbq/""adidas""",55.4,229,26.9,11.9,3.6,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0981.jpg
F096,Chicken gizzard,Manok balun-balunan,73.8,106,21.8,1,2.5,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F096.jpg
F097,Chicken head,Chicken head,76.8,129,13.1,8.2,0.8,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F097.jpg
F098,"Chicken head, bbq","Manok ulo, bbq/""helmet""",60.7,220,20.5,14.7,1.3,2.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F0951.jpg
F099,Chicken heart,Manok puso,69.8,197,11.6,15.9,1.9,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F099.jpg
F100,Chicken intestine,Manok bituka,75,155,13,11.4,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F100web.jpg
F101,"Chicken intestine, bbq","Manok bituka, bbq/""IUD""/Isaw manok",57.3,210,28.2,9.6,3,2.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F101.jpg
F102,Chicken leg/drumstick,Manok binti,67.7,2.4,17.1,15,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F102.jpg
F103,Chicken liver,Manok atay,72.7,124,18.1,3.9,4,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F103.jpg
F104,Chicken neck,Manok leeg,57.8,314,14.1,28.6,0,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F104.jpg
F105,"Chicken pullet, breast","Manok dumalaga, pitso",76.7,103,19.6,2.7,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F105.png
F106,"Chicken pullet, thigh","Manok dumalaga, hita",76.7,103,19.6,2,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F107.jpg
F107,Chicken thigh,Manok hita,72.3,149,19.8,7.7,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F107.jpg
F108,Chicken thigh & leg,Manok hita at binti,69.4,187,17.6,13,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F108.jpg
F109,Chicken wing,Manok pakpak,67.3,194,18.9,13.2,0,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F109.jpg
F110,Chicken white meat,Manok laman,75.3,110,20.6,3.1,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F110.png
F111,"Chicken, white meat, boiled","Manok laman, nilaga",61.8,173,32.9,4.6,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F111.png
F112,"Chicken, white meat, fried","Manok laman, prito",51.5,226,40.3,7.2,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F112.png
F113,"Chicken, whole",Manok buo,66.6,215,17.4,16.2,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F113.jpg
F116,Duck back,Pato likod,65.4,191,22.6,11.2,0,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1161.png
F117,Duck blood,Pato dugo,83.6,62,10.7,0.1,4.5,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1171.png
F118,Duck breast,Pato pitso,68.5,157,22.8,7.3,0,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F118_rev1.png
F119,Duck gizzard,Pato balun-balunan,74.7,108,22.1,2.2,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1191.png
F120,Duck liver,Pato atay,74.5,116,15.6,3.8,4.9,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1201.png
F121,Duck thigh,Pato hita,68.6,171,20.5,9.9,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F121_copy2.png
F122,Duck wing,Pato pakpak,69.5,144,24.4,5.2,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F122.jpg
F123,"Duck, wild, breast",Baliwis pitso,78.7,85,19.9,0.6,0,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa38.jpg
F124,"Duck, wild, thigh",Baliwis hita,78.5,85,19.5,0.8,0,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa38.jpg
F125,Frog meat,Palaka laman,77.54,89,20.9,0.6,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F125.jpg
F126,Goose breast,Gansa dibdib,72.3,122,23.4,3.2,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa40.jpg
F127,Goose thigh,Gansa hita,72.1,127,23,3.9,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa41.jpg
F128,Lamb flank,Tupa tiyan,73.3,149,16.6,9.2,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F129.png
F129,Lamb foreshank,"Tupa biyas, harapan",73,135,19.9,6.1,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa42.jpg
F130,Lamb hind shank,"Tupa biyas, likod",73.7,124,20.6,4.6,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F131.png
F131,Lamb liver,Tupa atay,69.8,136,21.8,4,3.1,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F132.png
F132,Lamb loin,Tupa lomo,74.1,123,20.2,4.7,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa44.jpg
F133,Lamb lung,Tupa baga,77.4,95,17.3,1.7,2.5,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa44.jpg
F134,Lamb neck,Tupa leeg,72.8,141,18.9,7.3,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F135.png
F135,Lamb riblet,Tupa tadyang,72.2,157,16.9,9.9,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F136.png
F136,Lamb roast/back,Tupa likod,73.9,129,19.2,5.8,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F137.png
F137,Lamb shoulder,Tupa balikat,75.2,134,16.1,7.7,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa48.jpg
F139,Moor hen breast,Ulok pitso,70.4,147,21.4,6.8,0,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa48.jpg
F140,Moor hen gizzard,Ulok balun-balunan,72.8,113,22.5,1.6,2.2,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa48.jpg
F141,Moor hen liver,Ulok atay,70.7,130,18,3.5,6.5,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa48.jpg
F142,Moor hen thigh,Ulok hita,72.9,134,20.1,5.9,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa48.jpg
F143,Pigeon breast,Kalapati pitso,66.5,207,17.1,15.4,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F143_copy1.png
F144,Pigeon thigh,Kalapati hita,64.6,239,14.6,20.1,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1441.png
F145,"Pigeon, squab/young meat",Kalapati pitson,72.4,154,17,9.5,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa49.jpg
F146,Pork back fat,Baboy taba sa likod,36.2,513,11.6,51.8,0,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F146.png
F147,Pork belly,Baboy liempo,47.5,393,14.5,37.2,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1471.png
F148,"Pork belly, broiled","Baboy liempo, inihaw",67.9,213,14,17.4,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1481.png
F149,"Pork belly, fried","Baboy liempo, prito",65.2,245,12.3,21.8,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F149.jpg
F151,"Pork belly, boiled","Baboy liempo, nilaga",42.8,444,13,43.6,0,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F151.jpg
F152,Pork blood,Baboy dugo,85.4,55,11.6,0,2.1,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1522.png
F153,Pork Boston butt,Baboy paypay,54.8,329,14.3,30.2,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1531.png
F154,"Pork Boston butt, boiled","Baboy paypay, nilaga",55.6,346,10.1,33.9,0,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1541.png
F155,"Pork Boston butt, broiled","Baboy paypay, inihaw",68.8,203,13.9,16.4,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F155.png
F156,"Pork Boston butt, fried","Baboy paypay, prito",64.9,239,14.2,20.2,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1561.png
F157,"Pork Boston butt, lean","Baboy paypay, laman",58.6,278,17.3,23.2,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1571.png
F158,"Pork Boston butt, lean, boiled","Baboy paypay, laman, nilaga",67,212,15.6,16.6,0,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1581.png
F159,"Pork Boston butt, lean, broiled","Baboy paypay, laman, inihaw",69.4,154,22.3,7.2,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1591.png
F160,"Pork Boston butt, lean, fried","Baboy paypay, laman, prito",72.3,136,20.5,6,0,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1601.png
F161,Pork center loin,"Baboy tagiliran, laman",34.8,519,12.5,52.1,0,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1612.png
F162,Pork chop,Baboy kostillas,47.8,390,14.5,36.9,0,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F162.jpg
F163,Pork ear,Baboy tenga,49.5,385,11.8,36.9,1.3,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1632.png
F164,"Pork ear, bbq","Baboy tenga, bbq/",43,350,23.8,25.9,5.4,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F164.jpg
F165,Pork ham,Baboy pigi/pigue,57,298,16.3,25.8,0.1,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1651.png
F166,Pork head,Baboy ulo,53.3,326,14.4,28.8,2.3,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1661.png
F167,Pork heart,Baboy puso,76.6,116,16.4,5.3,0.6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1671.png
F168,"Pork intestine, large",Baboy bitukang malaki,81.8,81,9.6,2.2,5.6,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1681.png
F169,"Pork intestine, small",Baboy bitukang maliit,84.2,71,12.6,2.3,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1691.png
F170,"Pork intestine, small, bbq","Baboy bitukang maliit, bbq/Isaw baboy",49.5,318,20.6,24.8,3,2.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F170.jpg
F171,Pork kidney,Baboy bato,77.5,105,14.4,3.9,3.1,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1711.png
F172,"Pork kidney, boiled","Baboy bato, nilaga",76.6,106,13.9,3.2,5.3,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1721.png
F173,Pork leg,Baboy pata,65.4,203,20.2,13.6,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F173.jpg
F174,Pork liver,Baboy atay,72.3,119,18,2.8,5.5,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F174.jpg
F175,"Pork liver, boiled","Baboy atay, nilaga",60.9,170,17.8,3.5,16.9,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F175.jpg
F176,"Pork liver, broiled","Baboy atay, inihaw",59,180,19.8,4.4,15.4,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F176.png
F177,"Pork liver, fried","Baboy atay, prito",56.4,197,19.9,5.4,17.1,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F177.jpg
F178,Pork lung,Baboy baga,83.2,73,12.2,1.8,2,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1781.png
F179,Pork picnic,Baboy kasim,49.4,387,13.4,37,0,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F179.jpg
F180,"Pork picnic, boiled","Baboy kasim, nilaga",50.3,368,14.8,34.3,0,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F180.jpg
F181,Pork skin,Baboy balat,53.1,319,19.8,26.6,0,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F181.jpg
F182,Pork spare rib,Baboy tadyang,58.4,293,14.6,26.1,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1821.png
F183,Pork spleen,Baboy lapay,80.1,87,16.1,2.5,0,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1831.png
F184,"Pork spleen, boiled","Baboy lapay, nilaga",80.1,94,15.2,3.7,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1841.png
F185,Pork stomach,Baboy sikmura,77.2,121,13.1,6.5,2.6,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1851.png
F186,Pork tail,Baboy buntot,37.9,477,15.4,46.1,0,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1861.png
F187,Pork tenderloin,Baboy lomo,63.4,237,16.7,18.9,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1871.png
F188,Pork tongue,Baboy dila,64.1,241,14.8,20.2,0.1,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1881.png
F189,Pork uterus,Baboy bahay-guya,82.8,77,15.4,1.7,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1891.png
F190,"Pork, suckling, belly","Baboy litsunin, liempo",69.2,174,18.3,11.2,0,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1901.png
F191,"Pork, suckling, blood","Baboy litsunin, dugo",85.3,56,11.5,0,2.6,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1911.png
F192,"Pork, suckling, brain","Baboy litsunin, utak",78.5,129,10.2,9.7,0.2,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1921.png
F193,"Pork, suckling, heart","Baboy litsunin, puso",76.2,125,16.3,6.6,0,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1931.png
F194,"Pork, suckling, intestine, large","Baboy litsunin, bitukang malaki",80.5,87,9.1,2.5,6.9,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1941.png
F195,"Pork, suckling, intestine, small","Baboy litsunin, bitukang maliit",85.1,61,12.5,0.9,0.6,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1951.png
F196,"Pork, suckling, kidney","Baboy litsunin, bato",79.3,95,15.9,3.4,0.3,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1961.png
F197,"Pork, suckling, leg","Baboy litsunin, pata",73.7,128,19.9,5.4,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1971.png
F198,"Pork, suckling, liver","Baboy litsunin, atay",73.3,116,16,2.8,6.6,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1981.png
F199,"Pork, suckling, lung","Baboy litsunin, baga",80.2,87,15.8,2.4,0.6,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F1991.png
F200,"Pork, suckling, spare rib","Baboy litsunin, tadyang",70.9,168,17,11.1,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F2001.png
F201,"Pork, suckling, spleen","Baboy litsunin, lapay",77.6,105,15.6,4.2,1.3,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F2011.png
F202,"Pork, suckling, stomach","Baboy litsunin, sikmura",80.8,95,14.3,4.2,0,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F2021.png
F203,Quail meat,Pugo laman,70.2,154,21.1,7.7,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F203.jpg
F204,Rabbit liver,Kuneho atay,74.5,111,15.4,2.5,6.6,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F204.png
F205,Rabbit thigh,Kuneho hita,78.2,94,18.6,2.2,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F205.png
F206,Rabbit white meat,Kuneho laman,78.4,94,18.2,2.4,0,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F206.png
F207,Snipe lean meat,Agatsona laman,74.6,113,21,3.2,0,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa50.jpg
F208,Turkey breast,Pabo pitso,74.5,100,24.1,0.4,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F2081.png
F209,Turkey liver,Pabo atay,72.6,124,19.2,3.9,2.9,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F209.jpg
F210,Turkey thigh,Pabo hita,76.6,100,20.3,2.1,0,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa52.jpg
F211,Venison rib,Usa tadyang,76.8,89,21.9,0.1,0,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa52.jpg
F212,Venison thigh,Usa hita,76.7,89,21.9,0.2,0,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa52.jpg
F213,Bacon,N/A,18.4,603,11.1,58.3,8.4,3.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa52.jpg
F214,"Beef chunk, cnd",N/A,57.4,252,14.7,18.3,7,2.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa54.jpg
F215,Beef jerky,"Tapa, baka",76.6,102,13.8,3.6,3.7,2.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F215_beefJerky.jpg
F217,Beef spread,N/A,59.4,227,14.6,14.5,9.6,1.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa54.jpg
F218,"Beef, sweet cured","Tocino, baka",75.9,80,18.1,0.8,0,5.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa58.jpg
F219,Carabeef jerky,"Tapa, kalabaw",36.1,220,51.7,1.5,0,10.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa58.jpg
F220,Chicken liver spread,N/A,63.8,211,8.4,15.4,9.8,2.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa58.jpg
F221,Chicken meat ball,N/A,66.8,147,9.8,4.8,16.1,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaaa58.jpg
F222,Chicken nugget,N/A,56.5,220,15.5,11.2,14.3,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F222.jpg
F223,"Sausage, chicken","Longanisa, manok",64.7,185,10.7,10.8,11.3,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F223_ChickenSausage.jpg
F224,Chicken spread,N/A,63.2,211,10.4,14.5,9.6,2.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/F224.jpg
